title,publishedDate,dislikeCount,commentCount,viewCount,likeCount
Voltio ,5/30/2016,1765,3859,19509827,55520
5/16) ,5/30/2016,6,30,52031,780
Ocean ,5/30/2016,4248,3993,12119703,75288
Roseland) ,5/30/2016,3534,10541,34491725,152098
Tour ,5/30/2016,23,50,87868,403
Jay-Z ,5/30/2016,4065,7863,52135784,113999
Pentatonix ,5/30/2016,5553,35885,41811744,651283
Video ,5/30/2016,3421,8314,29830589,120857
MINE! ,5/30/2016,13,73,13217,417
Stealing ,5/30/2016,1024,2153,848825,4909
Rumors ,5/30/2016,677,1246,603200,6317
Hall ,5/30/2016,1616,11117,8778880,227546
Tour) ,5/30/2016,2,11,33820,304
Girl ,5/30/2016,5430,7451,53935590,167162
Alarm ,5/30/2016,2309,5423,31679940,86849
Beyoncé ,5/30/2016,78807,143966,249096070,625344
720P ,5/30/2016,5017,17355,17463531,82664
#OnTheRunHBO ,5/30/2016,2652,4647,20923269,155342
Español) ,5/30/2016,193,702,587462,6413
BEYONCÉ ,5/30/2016,2478,18721,12583997,272861
Lemonade ,5/30/2016,236,782,213381,4519
Network ,5/30/2016,203,410,563483,3984
5/14/2016,5/30/2016,47,124,290161,1947
Breakdowns ,5/30/2016,338,1227,1572209,18037
Beyoncé ,5/30/2016,936,2324,875587,4979
Beyoncé ,5/30/2016,17253,13921,70029137,420027
16,5/30/2016,67,244,318307,2825
Lemonade ,5/30/2016,318,2690,1168651,11064
Angel ,5/30/2016,3710,1872,10154841,60102
Allegations ,5/30/2016,58,24,52791,398
Me ,5/30/2016,6326,14119,39511071,150501
Love ,5/30/2016,64,316,136846,2395
Ivy ,5/30/2016,68,213,115101,516
Beyonce ,5/30/2016,1272,2270,2484338,15881
2014,5/30/2016,5,24,15182,479
] ,5/30/2016,1623,3775,12502499,74838
Harmony? ,5/30/2016,242,1493,399056,12530
2016,5/30/2016,473,905,2083608,13233
Tour ,5/30/2016,3,9,39305,381
Dress ,5/30/2016,2556,4735,29107502,71051
Lemonade ,5/30/2016,181,579,326098,4115
1,5/30/2016,178,1152,1876223,11506
Live ,5/30/2016,184,378,957419,6888
Emojis ,5/30/2016,224,347,620439,6410
@EVEEEEEZY ,5/30/2016,20,1486,176238,9211
Cover) ,5/30/2016,6775,17330,52422968,504672
Pt.2 ,5/30/2016,42,77,24541,300
CBS) ,5/30/2016,2741,7982,18891993,105125
FRIENDS ,5/30/2016,818,11269,754576,74259
Vegas) ,5/30/2016,1143,2298,9566824,51814
Bitches) ,5/30/2016,23,13,26798,256
(1998-2015) ,5/30/2016,94,381,243905,3692
FORMATION!!! ,5/30/2016,1,17,6328,156
#Thenjiwe ,5/30/2016,677,1063,672133,2276
PARK ,5/30/2016,14,70,45844,932
2016,5/30/2016,34,91,52174,421
lyrics] ,5/30/2016,11784,20239,95733147,266326
Jumpin' ,5/30/2016,28,36,198818,1732
CONCERT! ,5/30/2016,849,1292,4468846,13394
All) ,5/30/2016,152,825,577044,21978
Ghost ,5/30/2016,2893,2397,7662627,62270
beyonce ,5/30/2016,6887,4025,32817434,113897
Light ,5/30/2016,2732,6583,29254431,56699
Battle ,5/30/2016,696,3228,522943,3792
Episode! ,5/30/2016,169,321,559512,1692
Awards) ,5/30/2016,1394,4365,6042656,52013
Handler? ,5/30/2016,292,727,114427,788
Star) ,5/30/2016,34,78,287000,645
LEMONADE ,5/30/2016,331,187,1454636,10480
Adele ,5/30/2016,4543,4406,836508,4143
View ,5/30/2016,84,297,166149,716
Beyoncé ,5/30/2016,367,433,3269069,28956
(LIVE) ,5/30/2016,35,215,150305,2677
2016,5/30/2016,2,10,7019,69
4K ,5/30/2016,1,18,22574,240
(E251) ,5/30/2016,144,1112,246779,5097
Album ,5/30/2016,1879,18295,2545058,151159
3,5/30/2016,44,188,54407,1718
Time ,5/30/2016,1063,904,6728801,32842
Sorry-Beyonce ,5/30/2016,3577,814,4251774,21800
Beyonce ,5/30/2016,209,358,566714,5423
Fauntleroy ,5/30/2016,3604,6800,19182806,80767
More! ,5/30/2016,23,75,82291,417
HBO ,5/30/2016,3365,6223,10474565,61156
Beyoncé ,5/30/2016,534,3000,896179,54250
BEYONCÉ ,5/30/2016,273,1007,600054,29587
official ,5/30/2016,2795,1433,17190508,105619
] ,5/30/2016,4539,3453,21670908,79582
Z) ,5/30/2016,1137,864,9448638,27550
Roseland) ,5/30/2016,1691,13208,21049874,125792
lyrics ,5/30/2016,2684,3334,16088906,82947
West ,5/30/2016,2424,5757,18247869,51025
Roseland) ,5/30/2016,2083,6723,13159344,69182
Theory ,5/30/2016,90,294,54185,656
OWN ,5/30/2016,65,274,386476,1305
Adams ,5/30/2016,878,2147,7148511,78336
1080HD ,5/30/2016,208,364,1966090,8912
2006,5/30/2016,636,2318,6462673,41919
#Formation ,5/30/2016,22,58,81189,1399
2013,5/30/2016,250,382,1617365,9560
Reality ,5/30/2016,250,1044,220530,3390
ella ,5/30/2016,393,967,3306719,14298
1,5/30/2016,40,138,168242,1294
BEYONCE!! ,5/30/2016,31,410,64992,4563
Tour) ,5/30/2016,225,326,2119443,10922
Boobies ,5/30/2016,180,414,1076029,10663
All ,5/30/2016,1644,5318,19898113,76339
(Live) ,5/30/2016,23,66,178343,1195
Tyra ,5/30/2016,388,1665,1412966,7619
"Hive"" ",5/30/2016,12,31,105797,310
2015,5/30/2016,319,989,2986580,28300
2011) ,5/30/2016,61,201,650329,4124
View ,5/30/2016,639,2880,483509,2828
2013,5/30/2016,91,304,376356,2345
Show! ,5/30/2016,4,3,15219,68
2013,5/30/2016,135,252,1090110,7594
Davies ,5/30/2016,14,122,27831,1008
(NFL) ,5/30/2016,4790,11394,14922061,48371
(Legendado) ,5/30/2016,525,706,4332071,24490
(Live) ,5/30/2016,30,42,258309,2022
View ,5/30/2016,31,142,94774,427
Finale ,5/30/2016,915,1181,4289350,19522
TicketHurry.com ,5/30/2016,3,4,24956,124
"Cover)"" ",5/30/2016,4317,19380,11686352,289841
Snacks ,5/30/2016,15,190,10501,853
[ ,5/30/2016,279,310,764680,5377
Tour) ,5/30/2016,114,144,1579124,6878
Roy ,5/30/2016,253,1121,177749,1390
2016) ,5/30/2016,5,14,29271,309
[LYRICS] ,5/30/2016,4266,6140,34842852,91128
lyrics ,5/30/2016,1260,1740,8167741,31850
Parody) ,5/30/2016,1005,1249,1422072,18906
"Domination"" ",5/30/2016,3366,11279,510095,10959
album!!! ,5/30/2016,7,141,15341,597
Rocks! ,5/30/2016,175,142,2505692,28820
Me ,5/30/2016,1079,799,1365452,14601
*BLASPHEMY* ,5/30/2016,95,614,54328,648
Diss ,5/30/2016,317,509,300570,1667
Tour) ,5/30/2016,278,539,1905770,12150
Network ,5/30/2016,288,822,1133980,4393
Lyrics ,5/30/2016,1786,953,10103701,37149
Minneapolis ,5/30/2016,21,94,45095,233
OWN ,5/30/2016,33,149,217720,694
Video ,5/30/2016,9,6,33758,160
TOUR) ,5/30/2016,609,2895,7289398,32483
Lyrics ,5/30/2016,434,365,2001328,13860
8/5/2016,5/30/2016,15,34,63949,508
HD) ,5/30/2016,21,81,161378,1192
4,5/30/2016,279,323,1010758,10395
Haunted ,5/30/2016,2263,1183,19305622,83392
REACTION!!!! ,5/30/2016,290,218,36784,602
DANCE ,5/30/2016,5370,4660,18844911,115318
Español] ,5/30/2016,2382,1219,17312218,78943
Boy ,5/30/2016,21,34,192569,1319
[1080HD] ,5/30/2016,48,151,323242,2449
17) ,5/30/2016,8,21,55906,465
2014,5/30/2016,874,1196,6866052,31520
(Pepsi) ,5/30/2016,10898,22848,61061500,315587
LEMONADE ,5/30/2016,128,52,516316,2533
Beyoncé ,5/30/2016,34,282,76894,779
Lyrics ,5/30/2016,883,124,761570,4852
Tampa) ,5/30/2016,16,101,86843,1147
REHEARSAL ,5/30/2016,5024,11646,29204046,240757
CBS) ,5/30/2016,1938,4743,18729367,58250
[HQ] ,5/30/2016,82,610,1129665,4622
[HQ] ,5/30/2016,82,610,1129665,4622
CA ,5/30/2016,4,13,17934,157
Aftermath ,5/30/2016,454,276,367272,3952
"Dream"" ",5/30/2016,67,497,528738,5348
Loaf ,5/30/2016,673,600,1942274,14009
Tutorial ,5/30/2016,877,2436,1088591,40088
(Lyrics) ,5/30/2016,1904,3259,13283026,67884
Lyrics ,5/30/2016,3251,2862,14819100,49456
Show ,5/30/2016,6,13,27768,141
29/12/2011 ,5/30/2016,51,227,497494,3489
Performance ,5/30/2016,65,183,211586,7932
Irreemplazable ,5/30/2016,1364,1928,13988577,44032
(Lemonade) ,5/30/2016,22,33,9962,189
@Brazilinspires ,5/30/2016,13295,25340,88399637,566751
Blind ,5/30/2016,813,1450,5006760,24137
Perth ,5/30/2016,51,311,379480,5486
Beyoncé ,5/30/2016,78,6,144679,341
Mine ,5/30/2016,4991,5820,10187213,93715
[1080HD] ,5/30/2016,42,97,319078,2762
Beyoncé ,5/30/2016,11159,11699,5935121,58814
Sp ,5/30/2016,1696,1273,1629290,8624
Diego ,5/30/2016,8,28,9373,137
Awesome ,5/30/2016,59,214,331781,3825
Know ,5/30/2016,51,138,174586,299
(HBO) ,5/30/2016,564,3158,587717,5311
Rose ,5/30/2016,73,70,534463,1796
Stadium) ,5/30/2016,9,12,55539,489
Fauntleroy ,5/30/2016,66,215,146681,2184
Dream ,5/30/2016,2,5,21596,216
So ,5/30/2016,163,1070,267259,7000
(FWT) ,5/30/2016,16,96,173556,1252
525) ,5/30/2016,73,1040,216578,12952
boy(lyrics) ,5/30/2016,4791,7975,36405379,109493
) ,5/30/2016,16,24,216799,984
2014,5/30/2016,82,81,206110,765
HD ,5/30/2016,62,328,763770,3620
(Live) ,5/30/2016,355,1854,3594438,22510
Lyrics ,5/30/2016,2678,4035,18715496,61804
HD ,5/30/2016,882,2255,6818268,28732
Vegas) ,5/30/2016,215,651,2249388,13756
Famous ,5/30/2016,17,195,90888,821
REVIEW ,5/30/2016,789,3822,496658,9294
2014,5/30/2016,8,7,29943,184
] ,5/30/2016,18,38,70389,402
W.W.J.D. ,5/30/2016,110,140,921808,6784
2,5/30/2016,139,87,408434,902
visto. ,5/30/2016,953,1172,1120047,23246
REACTION ,5/30/2016,0,18,9561,291
Beyoncé) ,5/30/2016,10,40,54360,539
HD ,5/30/2016,1472,3924,14977785,51120
Rowland ,5/30/2016,9294,18895,23722230,230962
VIDEO ,5/30/2016,74,221,55635,643
(DHR) ,5/30/2016,430,1299,584881,4708
week ,5/30/2016,1,10,7977,13
2] ,5/30/2016,22,28,168514,699
Prince ,5/30/2016,338,600,295706,1133
Jay-z ,5/30/2016,28,60,102410,605
Outside) ,5/30/2016,38,41,84817,306
(LIVE) ,5/30/2016,49,57,323219,2068
Blind ,5/30/2016,1457,2254,8061083,66081
Hospital ,5/30/2016,680,3171,4829977,58797
2016,5/30/2016,2,54,29901,285
Beyoncé ,5/30/2016,243,695,250416,1925
Show. ,5/30/2016,10,3,28982,187
Reworked) ,5/30/2016,9901,12885,9749791,43386
[L!ve] ,5/30/2016,217,448,2478343,12447
Videos ,5/30/2016,78,293,167554,2066
Rihanna ,5/30/2016,193,1607,84982,2570
Tour) ,5/30/2016,39,123,317576,2040
1) ,5/30/2016,15,23,201180,442
Beyonce? ,5/30/2016,892,938,1503228,5257
PARODY ,5/30/2016,384,647,313299,14608
# ,5/30/2016,207,67,175720,1023
live ,5/30/2016,1099,4492,8260651,40274
Lemonade ,5/30/2016,13,12,20363,154
5,5/30/2016,574,717,1484142,15893
View ,5/30/2016,22,273,80468,393
Vandross) ,5/30/2016,32,57,260306,1235
(REACTION) ,5/30/2016,671,2134,536658,15590
Tour ,5/30/2016,46,98,311057,1607
(Lyrics) ,5/30/2016,977,978,4768736,26324
live ,5/30/2016,184,646,1755586,8780
BEYONCÉ ,5/30/2016,216,813,154688,8212
(Legendado) ,5/30/2016,2,68,56367,1502
Beyonce ,5/30/2016,90,590,335655,4715
festival ,5/30/2016,55,134,414530,2998
Live ,5/30/2016,2,6,45704,436
Tour] ,5/30/2016,44,80,164254,1288
Reaction ,5/30/2016,4,21,6632,168
2016) ,5/30/2016,23,110,378776,1855
lyrics ,5/30/2016,1065,1598,6847399,32176
2016,5/30/2016,63,229,409650,2542
concert ,5/30/2016,14,16,139188,690
2013,5/30/2016,665,2439,2959809,27869
Feud? ,5/30/2016,78,713,74038,843
Up-Beyonce ,5/30/2016,1507,421,2945355,10217
Slave ,5/30/2016,594,1812,969701,2546
KRISHNA ,5/30/2016,47,110,28009,779
LA ,5/30/2016,11,117,50166,294
INCH ,5/30/2016,237,342,324525,5536
2015,5/30/2016,35,28,91935,123
Bootcamp ,5/30/2016,73,405,428867,3463
(lyrics) ,5/30/2016,549,937,4654780,17897
Footage) ,5/30/2016,26,46,209948,1324
(Coreografia) ,5/30/2016,1284,1901,947686,26766
(@Beyonce) ,5/30/2016,35,419,122277,2236
You) ,5/30/2016,1940,7099,22635477,33174
REALLY ,5/30/2016,26,428,21492,1141
THEORIES ,5/30/2016,521,9722,2131217,85059
Feyoncé ,5/30/2016,572,3524,270576,4609
(video) ,5/30/2016,1029,1303,1766324,6453
Fama ,5/30/2016,50,287,109921,4645
VH1 ,5/30/2016,15,14,44631,187
CA ,5/30/2016,0,1,2670,32
Gene ,5/30/2016,76,150,246321,3107
Beyoncedayz ,5/30/2016,65,309,237288,1415
Moves ,5/30/2016,61,253,276649,2993
2013,5/30/2016,28,31,165906,807
| ,5/30/2016,8,10,41928,293
VIDEO ,5/30/2016,31,97,100798,552
720p] ,5/30/2016,238,1630,1256773,6843
DAY?? ,5/30/2016,47,303,50354,2007
Clara ,5/30/2016,5,11,9364,79
(Official) ,5/30/2016,119,172,470856,4854
Tour ,5/30/2016,9,59,15546,120
Live ,5/30/2016,2,27,20784,260
(LIve) ,5/30/2016,340,2070,7349782,20031
SONJDRADELUXE ,5/30/2016,109,633,179825,9546
(FWT) ,5/30/2016,29,119,111753,1039
Last ,5/30/2016,948,2192,8346414,25459
CBS) ,5/30/2016,178,1355,1285464,7719
Deep ,5/30/2016,86,460,42496,1766
INTERVIEW] ,5/30/2016,23,150,122323,316
Humphries ,5/30/2016,730,1125,1285735,2788
Lessons-Beyonce ,5/30/2016,388,132,552719,2337
(VIDEOS) ,5/30/2016,4,9,6097,35
Lyrics ,5/30/2016,138,258,1985655,7537
Lyrics ,5/30/2016,497,343,2084381,10385
(Beyonce) ,5/30/2016,18,27,50132,149
Event ,5/30/2016,4,50,32494,441
"""Formation"" ",5/30/2016,1565,2458,537401,9235
Game ,5/30/2016,107,260,270903,457
Footage) ,5/30/2016,5,23,64018,413
Sorry ,5/30/2016,4,32,38278,322
CHILENO ,5/30/2016,37,30,158860,665
Sorry ,5/30/2016,4,32,38278,322
Tuner ,5/30/2016,661,1607,4255926,18614
Edition) ,5/30/2016,847,1382,5355958,19991
2006,5/30/2016,12,60,47124,360
Ray ,5/30/2016,21,82,133799,1129
Performance ,5/30/2016,79,603,198049,1630
Preview ,5/30/2016,5634,2892,17758069,44423
'Lemonade' ,5/30/2016,220,370,873085,1423
Love ,5/30/2016,14,7,38743,191
Fosse ,5/30/2016,114,891,865241,599
TALENT'!! ,5/30/2016,1256,5694,7058305,49534
Album ,5/30/2016,39,260,179008,6555
HD ,5/30/2016,12,40,118777,1084
Mama ,5/30/2016,588,1083,3343179,19129
2012,5/30/2016,62,85,486733,2070
Sun ,5/30/2016,593,994,2336344,14531
guy ,5/30/2016,629,1415,3839264,10773
Reaction! ,5/30/2016,122,1344,291720,7437
Interview ,5/30/2016,9,8,7395,116
plateia ,5/30/2016,186,0,318819,2442
controversy ,5/30/2016,324,1332,408931,1638
Revealed? ,5/30/2016,114,454,583197,1767
Show! ,5/30/2016,687,2134,75012,1501
Highlight) ,5/30/2016,655,2866,3482145,34333
Wayne) ,5/30/2016,124,116,498682,3392
Footage) ,5/30/2016,44,96,389542,2684
announcement ,5/30/2016,74,608,27798,926
(Advanced) ,5/30/2016,42,235,344741,5597
inch-Beyonce ,5/30/2016,193,53,409671,1786
Game ,5/30/2016,23,140,212568,446
4k ,5/30/2016,785,5805,745871,9732
HD) ,5/30/2016,605,784,2813572,12988
(Lyrics) ,5/30/2016,134,190,669167,4976
CHILENO ,5/30/2016,729,431,1364961,4839
FAMA ,5/30/2016,1286,1519,931882,3991
Camp ,5/30/2016,3061,22865,31593559,212484
Moves ,5/30/2016,373,646,1691537,7361
Footage) ,5/30/2016,9,28,119696,862
Her’ ,5/30/2016,41,135,450669,2021
Clyde ,5/30/2016,32,68,300101,1670
[1080HD] ,5/30/2016,22,29,138294,924
live ,5/30/2016,145,512,2100802,6507
HD ,5/30/2016,13,24,96020,885
Release ,5/30/2016,493,1128,457674,2160
Pasadena ,5/30/2016,0,0,2598,20
[1080HD] ,5/30/2016,17,27,159280,920
(Legendado) ,5/30/2016,125,230,1251890,7913
Live ,5/30/2016,12,41,159219,1126
3,5/30/2016,234,732,1559872,3699
TOUR ,5/30/2016,0,207,2532,179
2016,5/30/2016,4,20,45567,512
Police! ,5/30/2016,417,1086,37824,1350
"“Becky"" ",5/30/2016,748,1452,285442,3122
Network ,5/30/2016,115,319,854199,2581
'Lemonade' ,5/30/2016,739,1018,2093097,34682
show ,5/30/2016,109,0,355777,1685
(SQN) ,5/30/2016,161,497,305381,13229
Jackson ,5/30/2016,606,1373,2996737,16645
Video ,5/30/2016,929,2249,443687,2505
Tour ,5/30/2016,89,224,504551,3155
Legendários! ,5/30/2016,5,9,41362,235
Footage) ,5/30/2016,29,78,271651,2330
HD ,5/30/2016,305,409,1376938,4202
Miami ,5/30/2016,10,24,67852,311
Footage) ,5/30/2016,6,15,107740,704
(cover) ,5/30/2016,183,255,63975,2038
5/2/2016,5/30/2016,3,5,11859,160
3-Jan,5/30/2016,83,253,1008977,2263
2,5/30/2016,396,441,1376958,16041
Live) ,5/30/2016,0,1,104,7
Live ,5/30/2016,14,12,1206,100
(FWT) ,5/30/2016,16,83,128874,629
Vegas ,5/30/2016,2,1,236,10
Edition ,5/30/2016,0,2,9,1
4,5/30/2016,4,1,400,17
Sandcastles ,5/30/2016,0,0,2,0
Beyonce? ,5/30/2016,0,0,247,0
u) ,5/30/2016,5,28,15129,146
March ,5/30/2016,0,0,308,2
Message ,5/30/2016,9,3,95,1
Reddlips89 ,5/30/2016,2,10,1050,12
Food ,5/30/2016,0,8,26,1
fun ,5/30/2016,0,0,6,0
esthetica ,5/30/2016,9,0,203,1
2015,5/30/2016,0,0,647,5
| ,5/30/2016,310497,78823,781526853,1696506
:) ,5/30/2016,191,4849,297801,18578
Frozen ,5/30/2016,21,272,24977,535
Scenes ,5/30/2016,18,28,49164,92
Animation) ,5/30/2016,2014,411,6769032,7239
life ,5/30/2016,1146,140,2636252,2616
Animation ,5/30/2016,2684,401,10835498,7913
Day ,5/30/2016,83,154,114815,610
Mashup! ,5/30/2016,49,313,30768,549
Life ,5/30/2016,14,1,34755,126
Naiah ,5/30/2016,106,66,238956,423
Parody ,5/30/2016,264,458,590104,2405
Video ,5/30/2016,315,84,279308,1695
Kate ,5/30/2016,128,1202,304322,2267
Latino) ,5/30/2016,28322,7891,78127178,144839
Life ,5/30/2016,3,25,15451,18
Cookieswirlc ,5/30/2016,317,247,564297,2239
Show) ,5/30/2016,32,50,30270,216
MARRIED! ,5/30/2016,133,1153,296737,3320
Love ,5/30/2016,44,17,136669,108
Adventure ,5/30/2016,19,51,22916,222
Naiah ,5/30/2016,633,152,1859307,1714
Fun! ,5/30/2016,25,8,59023,62
Eggs ,5/30/2016,57679,8467,130498081,150647
Naiah ,5/30/2016,145,51,318059,581
HD ,5/30/2016,60,36,142668,574
videos ,5/30/2016,51886,11106,137215579,142679
Mythbusters) ,5/30/2016,231,2683,336852,10820
Naiah ,5/30/2016,140,71,397552,612
Day ,5/30/2016,39,46,38582,199
Elli ,5/30/2016,193,140,440663,771
IRL ,5/30/2016,7060,1196,18487182,14395
Ciegas ,5/30/2016,352,593,579690,3442
Adventure ,5/30/2016,9,5,4291,49
Blood ,5/30/2016,41279,9271,71594612,123284
Frozen ,5/30/2016,3250,1115,1058941,7144
Naiah ,5/30/2016,523,146,1317350,1477
"Go"" ",5/30/2016,13,9,24774,71
Adventure ,5/30/2016,67,303,48380,668
Naiah ,5/30/2016,1162,328,3708031,3477
Songs ,5/30/2016,502,1,1380289,903
Cookieswirlc ,5/30/2016,232,108,784557,3690
5! ,5/30/2016,213,275,553298,1215
Friends ,5/30/2016,84,3,199421,98
Playset ,5/30/2016,638,95,1951353,5002
Naiah ,5/30/2016,545,192,1623535,1980
Disneyland ,5/30/2016,704,471,180593,686
life ,5/30/2016,2788,542,6461734,4953
Naiah ,5/30/2016,448,105,1356486,1354
Clips ,5/30/2016,5556,1272,14501112,16523
FestaBox ,5/30/2016,23586,6084,39286682,155953
NUMMIES ,5/30/2016,29577,44250,120807442,326709
video. ,5/30/2016,22128,2937,54530661,75099
HISTÓRIA! ,5/30/2016,1991,2014,2315116,8707
Life ,5/30/2016,80978,16137,147827674,311175
Naiah ,5/30/2016,1347,257,4251071,3549
Videos ,5/30/2016,4695,552,13450671,10431
Clips ,5/30/2016,29764,5886,91456245,78026
(Frozen) ,5/30/2016,362,68,991148,883
Português!! ,5/30/2016,418,3,716098,2155
life ,5/30/2016,84,15,245144,187
olaf ,5/30/2016,30677,3648,60748700,65838
IRL ,5/30/2016,206,378,411112,905
Video ,5/30/2016,1842,114,6603843,9416
Kit ,5/30/2016,3111,1564,5688722,14534
Life ,5/30/2016,540,65,1997698,1263
Portugues ,5/30/2016,1537,329,2363829,5218
TUYC ,5/30/2016,5403,616,12501495,9946
PekesCluB ,5/30/2016,14288,938,59583616,39843
8,5/30/2016,325,285,773636,2149
Video ,5/30/2016,1590,172,5974797,9133
Surprises ,5/30/2016,12931,2900,33456339,36529
:) ,5/30/2016,1789,123,4054265,3687
Español ,5/30/2016,1564,414,860443,2735
zoo ,5/30/2016,1076,30,3873013,2273
18,5/30/2016,316,26,1137065,754
Anna ,5/30/2016,4687,1169,8016731,15199
Anna ,5/30/2016,29860,5849,102576597,146256
(OST) ,5/30/2016,1670,1764,8793515,16338
[Official] ,5/30/2016,159974,147543,473000319,2259322
Romance ,5/30/2016,7492,2167,25314640,35528
Castle ,5/30/2016,13247,4581,31622383,53608
life ,5/30/2016,245,43,827106,638
Studios ,5/30/2016,3427,632,8970977,14172
Movie. ,5/30/2016,77,30,288817,368
Video ,5/30/2016,1238,249,3048613,8484
Frozen ,5/30/2016,24914,3894,86575674,72591
BARBIE ,5/30/2016,3700,7881,4550070,24518
Games ,5/30/2016,9,8,75315,49
Tote! ,5/30/2016,249,402,644562,1402
to ,5/30/2016,460,272,835046,3002
Disney ,5/30/2016,945,741,4624630,15001
Disney ,5/30/2016,3267,2185,10912439,36412
Surprise ,5/30/2016,1297,132,3502629,5825
Disney ,5/30/2016,263,77,832786,1944
Reissued ,5/30/2016,6489,9991,16888200,150418
Frozen ,5/30/2016,7976,7264,32014573,52112
POLÉMICAS ,5/30/2016,715,3047,542034,11770
Babies ,5/30/2016,23332,73,60358950,42956
Frozen ,5/30/2016,1863,3133,3473897,7538
World ,5/30/2016,3625,1051,10464168,11678
LaVignes ,5/30/2016,487,133,1616571,1510
Princesses ,5/30/2016,40367,33602,151062046,379765
8,5/30/2016,359,328,621941,1908
Stahli) ,5/30/2016,342,2442,2914914,25270
FROZEN ,5/30/2016,94,3490,339391,8412
Frozen ,5/30/2016,3,29,10591,42
Collector ,5/30/2016,3732,85,8895145,10334
Stars ,5/30/2016,3556,1036,10559132,20884
toy ,5/30/2016,905,140,3959786,1937
..... ,5/30/2016,165,132,659616,1722
Tototoykids ,5/30/2016,5121,1006,10311183,20661
Parody ,5/30/2016,16,103,44623,183
Pictures ,5/30/2016,332,196,755317,3442
Cover) ,5/30/2016,55164,20445,157603631,321291
Parody ,5/30/2016,603,54,2231782,1184
descarada ,5/30/2016,28,769,12159,1093
Quality) ,5/30/2016,9533,1940,35484731,40052
Domes ,5/30/2016,12618,3268,46169702,47465
DIY ,5/30/2016,829,644,2763044,4462
School ,5/30/2016,19510,1953,49721459,36820
Movie ,5/30/2016,2608,218,6382972,5005
Tototoykids ,5/30/2016,1654,818,3333284,7113
Portugues!! ,5/30/2016,1028,57,1558216,4473
2014,5/30/2016,2029,2550,7908845,46202
case! ,5/30/2016,1993,543,4668349,5400
yapboz ,5/30/2016,308,41,1394825,783
Español ,5/30/2016,213,19,277113,425
Frozen ,5/30/2016,3058,934,959149,10243
EVER ,5/30/2016,8520,19334,3218039,82398
videos ,5/30/2016,6962,1628,19279922,26356
Parody ,5/30/2016,1501,898,3774527,9226
Doh ,5/30/2016,1384,347,4207032,4797
Video ,5/30/2016,1271,204,4329055,15225
Trip) ,5/30/2016,3374,2280,7839096,16329
Elsa ,5/30/2016,582,193,966238,3071
Adventure ,5/30/2016,9,26,25233,164
♡ ,5/30/2016,1350,295,2062954,4310
Kids ,5/30/2016,942,3,2575885,1515
(Frozen) ,5/30/2016,811,146,2555674,2050
PARODIA ,5/30/2016,10087,2186,9136772,51490
Video ,5/30/2016,604,148,2297843,4447
-- ,5/30/2016,33061,11095,124916961,196176
Frozen ,5/30/2016,1897,4214,3395546,10283
Movie. ,5/30/2016,456,204,1662364,2050
(OST) ,5/30/2016,237,629,3623702,3858
@ii_Am_rell ,5/30/2016,3662,3729,7743394,54995
(OST) ,5/30/2016,123,869,1292367,3924
Parody ,5/30/2016,380,534,1422905,4707
Gameplay ,5/30/2016,190,1241,411202,14916
eternidade ,5/30/2016,7206,2538,16562658,59112
Video) ,5/30/2016,384,264,239212,4221
Dolls ,5/30/2016,3948,2454,9004497,68684
(Original) ,5/30/2016,8732,2452,38552094,48317
DisneyCarToys ,5/30/2016,2237,1214,2061263,14626
Toys ,5/30/2016,935,509,1999962,5507
Toys ,5/30/2016,349,174,824907,1265
9,5/30/2016,145,972,208203,4903
Animation ,5/30/2016,2634,464,7643917,7265
Tutorial ,5/30/2016,14379,8682,61141707,143090
Disney ,5/30/2016,5473,1470,7649369,18472
Frozen ,5/30/2016,402,1461,392677,2233
Surprises ,5/30/2016,101,87,188649,702
TUTORIAL! ,5/30/2016,12227,5569,31302709,70561
TUYC ,5/30/2016,1303,323,3810598,3641
VERDAD ,5/30/2016,599,685,478066,8530
Parody ,5/30/2016,9883,1629,32341506,31864
2016,5/30/2016,672,257,2207348,3765
Version) ,5/30/2016,39459,23194,90153679,257054
REAL ,5/30/2016,2416,6453,743131,16828
Myth ,5/30/2016,74,170,28069,374
Toy ,5/30/2016,685,770,1998756,2984
Reaccion ,5/30/2016,621,1474,334051,11147
2! ,5/30/2016,2798,1695,4099598,27065
Video ,5/30/2016,5252,2893,17041050,21898
DisneySurpresa ,5/30/2016,4430,1753,4579085,29291
TV ,5/30/2016,6632,1646,2828319,20348
MENINAS ,5/30/2016,3639,5451,5956519,52164
FROZEN ,5/30/2016,13044,5953,5748171,46312
Frozen ,5/30/2016,4301,4173,19668555,34321
FEVER ,5/30/2016,1443,5959,2914522,44661
Español ,5/30/2016,5025,556,15200098,19267
Parody ,5/30/2016,135,711,455537,6187
Disney ,5/30/2016,16275,4893,59850986,124244
game ,5/30/2016,13067,860,22019477,23267
Life! ,5/30/2016,4,0,8951,6
Polish ,5/30/2016,31,10,49559,90
Foam! ,5/30/2016,16,4,21663,39
Life-S ,5/30/2016,3,1,4224,1
☆ ,5/30/2016,5,31,5929,125
:) ,5/30/2016,1,0,2141,0
DFCC ,5/30/2016,0,1,304,1
Olaf ,5/30/2016,4,4,7873,16
Stylus ,5/30/2016,0,0,233,0
2,5/30/2016,0,0,256,0
Bug ,5/30/2016,2,3,233,0
Anna ,5/30/2016,0,0,2144,1
Kitchen ,5/30/2016,0,0,53,2
