title,publishedDate,dislikeCount,commentCount,viewCount,likeCount,word
Most Racist Ad Ever? (VIDEO),12/15/2014,5611,5412,267672,4443,video
The Conjuring 2 IMMERSIVE 360° Video! (2016),12/15/2014,35,72,105487,728,video
NASA Video : Earth From Space  Real Footage -  Video From The International Space Station ISS,12/15/2014,5458,10099,7368036,112253,video
Top 10 Video Games Where You’re Unknowingly The Villain,12/15/2014,624,3490,1905937,15434,video
Sia - Chandelier (Official Video),12/15/2014,287403,321479,1288191824,4230459,video
Sia - Big Girls Cry (Official Video),12/15/2014,69488,64488,128064376,748799,video
Iggy Azalea - Team (Dance Video),12/15/2014,33693,31695,63740139,511589,video
Sia - Cheap Thrills (Lyric Video) ft. Sean Paul,12/15/2014,34080,28500,221800226,1065145,video
Gente de Zona - Algo Contigo (Official Video),12/15/2014,2161,726,10865003,48222,video
Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),12/15/2014,223326,225850,1404189585,5227792,video
Fais ft. Afrojack - Hey (Official Video),12/15/2014,9455,6438,45523508,286103,video
Sex Before Vs. After Kids,12/15/2014,1041,1313,1718109,18390,video
What You Hope Happens When You Share a YouTube Video,12/15/2014,1554,2247,564222,21430,video
"CAN'T STOP THE FEELING! (From DreamWorks Animation's ""Trolls"") (Official Video)",12/15/2014,9419,12146,30498602,304513,video
Ricky Martin - La Mordidita (Official Video) ft. Yotuel,12/15/2014,57669,31501,339370496,732981,video
Charlie Puth - One Call Away [Official Video],12/15/2014,23356,44120,182286015,1033539,video
Little Mix - Secret Love Song (Official Video) ft. Jason Derulo,12/15/2014,11162,30211,53772174,600781,video
Top 10 Video Game Wizards,12/15/2014,433,1103,227558,2915,video
Frederick Douglass vs Thomas Jefferson.  Epic Rap Battles of History - Season 5,12/15/2014,7876,61513,3681488,150723,video
Nintendo and a New Standard for Video Games: Crash Course Games #7,12/15/2014,138,708,177760,5681,video
Yandel - Encantadora (Official Video),12/15/2014,20905,14761,148121038,478636,video
Selena Gomez - Hands To Myself,12/15/2014,80282,95968,129350253,1333079,video
Hasta el Amanecer - Nicky Jam | Video Oficial,12/15/2014,81553,88113,473937614,1636907,video
"OSMANI GARCIA Ft. PITBULL, SENSATO - El Taxi (Official Video)",12/15/2014,223745,80114,452715588,1188607,video
"Main Rahoon Ya Na Rahoon Full Video | Emraan Hashmi, Esha Gupta | Amaal Mallik, Armaan Malik",12/15/2014,9107,15993,51451984,259889,video
Top 5 Videos Malditos De Youtube,12/15/2014,4726,21254,4253287,76228,video
Harambe a 400 pound Gorilla grabs child who's fallen into habitat at Cincinnati Zoo kills gorilla,12/15/2014,3396,2129,4182866,1292,video
Enrique Iglesias - DUELE EL CORAZON ft. Wisin,12/15/2014,13878,16064,46984120,365314,video
Video that will change your life. I have no words left.,12/15/2014,3015,790,14701244,141470,video
twenty one pilots: Stressed Out [OFFICIAL VIDEO],12/15/2014,72370,162213,398783713,2827336,video
Pouring Liquid Nitrogen in a Pool - (I set my pool on fire!!),12/15/2014,1448,4408,2055011,58277,video
FAKE ISHQ Video Song | HOUSEFULL 3 | T-Series,12/15/2014,385,218,425988,2868,video
i like girls too (coming out video),12/15/2014,4186,40445,1011790,93789,video
Seeking Pluto’s Frigid Heart | 360 VR Video | The New York Times,12/15/2014,55,84,214416,902,video
Microsoft Surface Book First Look Video,12/15/2014,0,0,1624,4,video
"Dheere Dheere Se Meri Zindagi Video Song (OFFICIAL) Hrithik Roshan, Sonam Kapoor | Yo Yo Honey Singh",12/15/2014,59352,28243,139547055,542541,video
First-stage landing | Onboard camera,12/15/2014,504,4206,1741422,25499,video
"Jesse & Joy - ""Ecos de Amor"" (Video Oficial)",12/15/2014,8129,9144,66345490,313395,video
Enrique Iglesias - DUELE EL CORAZON ft. Wisin,12/15/2014,13878,16064,46984120,365314,video
Zack Knight: ENEMY Full Video Song | New Song 2016 | T-Series,12/15/2014,593,1691,1429908,16716,video
Los 7 videos más terroríficos y extraños de Youtube,12/15/2014,7537,12280,8819081,224657,video
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,12/15/2014,288935,659466,1771391120,10251671,video
Robin Schulz - Sugar (feat. Francesco Yates) (OFFICIAL MUSIC VIDEO),12/15/2014,26121,32848,225047445,933802,video
Chance the Rapper ft. 2 Chainz & Lil Wayne - No Problem (Official Video),12/15/2014,979,4190,1249556,35206,video
Cole Swindell - You Should Be Here (Official Music Video),12/15/2014,4974,5542,19474624,121745,video
Shawn Mendes - Stitches (Official Video),12/15/2014,89928,201164,474723675,3219003,video
Gente de Zona - La Gozadera (Official Video) ft. Marc Anthony,12/15/2014,46450,55613,341922399,861097,video
Pharrell Williams - Happy,12/15/2014,9731,8080,32665272,242149,video
Alexis y Fido - Una En Un Millón -  (Video Oficial),12/15/2014,7361,5124,71526455,182702,video
Tim McGraw - Humble And Kind (Official Video),12/15/2014,5407,4320,15766350,112587,video
Despedida de Mônica Iozzi do Video Show COMPLETO,12/15/2014,385,463,540025,4449,video
Best Item Songs of Bollywood 2015 | VIDEO JUKEBOX | Latest HINDI ITEM SONGS | T-Series,12/15/2014,2538,638,9491906,11418,video
Top 10 One Hit Kill Enemies in Video Games,12/15/2014,520,2814,1215913,14138,video
"Jason Derulo - ""Wiggle"" feat. Snoop Dogg (Official HD Music Video)",12/15/2014,184143,95104,729374955,2653345,video
Reik Ft. Nicky Jam - Ya Me Enteré (Lyric Video),12/15/2014,337,352,1541418,18716,video
Rihanna - Work (Explicit) ft. Drake,12/15/2014,272658,282002,379453326,3354154,video
"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)",12/15/2014,208248,225451,638066572,2881440,video
What Video Games Teach Us About the Aging Brain,12/15/2014,98,1016,161000,6884,video
NEW HINDI SONGS 2016 (Hit Collection) | LATEST BOLLYWOOD SONGS | VIDEO JUKEBOX | T-Series,12/15/2014,1947,506,7712589,10012,video
"YAHIN HOON MAIN Full Video Song | Ayushmann Khurrana, Yami Gautam, Rochak Kohli  | T-Series",12/15/2014,2555,2453,11815364,67349,video
Interactive Paranormal Activity Seance (360 Degree Video),12/15/2014,1235,1661,2528037,14416,video
Best Videos Compilation Week 3 May 2016 || JukinVideo,12/15/2014,208,250,317390,4479,video
Ellie Goulding - Love Me Like You Do (Official Video),12/15/2014,188393,132471,1132053533,4376169,video
Disturbed  - The Sound Of Silence [Official Music Video],12/15/2014,20214,44913,59969509,581567,video
Flo Rida - My House [Official Video],12/15/2014,22156,31836,113675719,652222,video
Selena Gomez - The Heart Wants What It Wants (Official Video),12/15/2014,89598,123969,387824471,2280462,video
REACTING TO ASMR VIDEOS with JOEY GRACEFFA,12/15/2014,1049,4783,1264253,55309,video
YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind,12/15/2014,156126,375570,97956076,2004354,video
Kevin Gates - 2 Phones (Official Video),12/15/2014,35954,30611,96664126,605455,video
Charlie Puth - Marvin Gaye ft. Meghan Trainor [Official Video],12/15/2014,56722,67354,340824476,1582016,video
Kygo - Stole The Show feat. Parson James [Official Music Video - YTMAs],12/15/2014,13231,16574,128131521,625623,video
"Chal Wahan Jaate Hain Full VIDEO Song - Arijit Singh | Tiger Shroff, Kriti Sanon | T-Series",12/15/2014,7425,5205,31130488,111464,video
Taylor Swift - Out Of The Woods,12/15/2014,85003,117018,92695990,1186440,video
Cats Being Jerks Video Compilation || FailArmy,12/15/2014,7548,23048,22965842,191957,video
Desiigner - Panda,12/15/2014,21012,38485,21097426,305873,video
"""MEAT!"" A SFV Combo Video",12/15/2014,17,148,25025,528,video
Maluma - Borro Cassette (Official Lyric Video),12/15/2014,39842,36186,346946062,731125,video
Raw Video Shows Gorilla Grab Boy at Cincinnati Zoo,12/15/2014,380,56,300350,109,video
10 Creepiest Video Game Easter Eggs,12/15/2014,1198,1214,1604499,16669,video
New Horizons' Extreme Close-Up of Pluto’s Surface (no audio),12/15/2014,70,27,505450,2120,video
Ed Sheeran - Drunk [Official Video],12/15/2014,4424,34239,65299024,308177,video
Sia - Cheap Thrills (Performance Edit),12/15/2014,18870,31623,80100241,724571,video
Kiesza - Hideaway (Official Video),12/15/2014,78938,50312,332242270,989131,video
Drake - 5AM In Toronto (Official Music Video),12/15/2014,83,368,339306,4826,video
"Jason Derulo - ""Want To Want Me"" (Official Video)",12/15/2014,38861,22319,292868123,1045731,video
Top 5 Misterios Sin Resolver Captados En Audio Y Video,12/15/2014,5123,7997,9404522,110942,video
Maná - Mariposa traicionera (Video),12/15/2014,6685,7586,82543274,148827,video
JESSICA (제시카) (Feat. Fabolous) - FLY Official Music Video,12/15/2014,12648,63635,12627181,315669,video
Reacting To My Old Videos (300th Video),12/15/2014,1135,14828,1463158,99391,video
Tinie Tempah - Girls Like ft. Zara Larsson (Official Video),12/15/2014,8306,7343,64781261,279707,video
A New Chapter for Fair Use on YouTube,12/15/2014,2105,19826,1878390,151475,video
Andra feat. David Bisbal - Without You (Official Video),12/15/2014,5000,2979,17209858,90111,video
Kevin Gates - Really Really (Official Video),12/15/2014,18116,10844,62655136,393963,video
Rihanna - Needed Me,12/15/2014,55962,64925,46135086,832400,video
"KYUN RE Video Song | TE3N | Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan | T-Series",12/15/2014,36,47,198082,731,video
Bruno Mars - Gorilla [Official Music Video],12/15/2014,23698,25101,73877764,406667,video
Learn Colors with Dump Trucks | Educational Video for Kids by Brain Candy TV,12/15/2014,380,86,1135053,805,video
Shock: Liberals Harass Veteran Reporter At Vietnam Memorial,12/15/2014,54,394,26079,571,video
Chewbacca Mom Gets a Surprise from the Real Chewbacca,12/15/2014,597,2551,4686788,41972,video
Janet Jackson - Dammn Baby (Music Video),12/15/2014,2773,7307,2421729,40565,video
Coldplay - Paradise (Official Video),12/15/2014,50844,203844,551321461,2156679,video
Chet Faker - Gold (Official Music Video),12/15/2014,4518,5340,47911839,271041,video
"How PC Culture Enables Radical Islam, And Why It Is At War With Patriotism",12/15/2014,70,297,29159,827,video
Al Ghazali - Lagu Galau (Official Music Video) | Soundtrack Anak Jalanan,12/15/2014,7132,6981,24993911,82522,video
"Zindagi Aa Raha Hoon Main FULL VIDEO Song | Atif Aslam, Tiger Shroff | T-Series",12/15/2014,8486,5811,30546345,111627,video
"Agar Tu Hota Video Song |  BAAGHI | Tiger Shroff, Shraddha Kapoor | Ankit Tiwari |T-Series",12/15/2014,685,581,4604140,11024,video
Clean Bandit - Rather Be ft. Jess Glynne [Official Video],12/15/2014,41578,40522,405217112,1419832,video
Flo Rida - GDFR ft. Sage The Gemini and Lookas [Official Video],12/15/2014,31694,30095,225377968,1302341,video
Demi Lovato - Stone Cold (Official Video),12/15/2014,24188,75813,41308210,1015894,video
AronChupa - I'm an Albatraoz | OFFICIAL VIDEO,12/15/2014,120641,107965,568387059,3017865,video
Taang Uthake Video Song | HOUSEFULL 3 | T-SERIES,12/15/2014,2110,713,3471738,10931,video
Taylor Swift - Bad Blood ft. Kendrick Lamar,12/15/2014,373315,363041,888386007,4253532,video
VALENTINE'S DAY SPECIAL : Best ROMANTIC HINDI SONGS 2016 (Video Jukebox) | T-Series,12/15/2014,1731,656,5667770,13336,video
Best HINDI SONGS of NEHA KAKKAR | All NEW BOLLYWOOD SONGS 2016 (Video Jukebox) | T-Series,12/15/2014,1061,338,3516239,6183,video
Gotye - Somebody That I Used To Know (feat. Kimbra) - official video,12/15/2014,159243,485220,780207022,3129079,video
10 Most BIZARRE VIDEO GAMES Ever Made! O_o,12/15/2014,743,4833,1455234,35695,video
Passenger - Let Her Go [Official Video],12/15/2014,102522,157224,999406228,3624140,video
Ed Sheeran - Thinking Out Loud [Official Video],12/15/2014,161760,156817,1117790940,4621296,video
Benny Benassi & Chris Brown - Paradise (Official Video),12/15/2014,7994,6850,34493306,204893,video
Si Tu No Estas - Nicky Jam Ft De la Ghetto | Video Oficial,12/15/2014,28374,20340,252331569,669199,video
Maxwell - Lake By the Ocean,12/15/2014,189,671,256499,6578,video
Adele - Skyfall (Lyric Video),12/15/2014,30451,70665,201492980,988833,video
Bruno Mars - The Lazy Song [OFFICIAL VIDEO],12/15/2014,158610,408290,905995176,3127677,video
360 VR VIDEO - NIGHTMARE HORROR VR MOVIE 4K,12/15/2014,5,8,17200,17,video
Rihanna - Kiss It Better (Explicit),12/15/2014,31520,40198,58546012,602936,video
Adele - Hello,12/15/2014,489834,757967,1556621987,10024798,video
Jennifer Lopez - Ain't Your Mama,12/15/2014,52308,45952,71183326,750184,video
Adele - Send My Love (To Your New Lover),12/15/2014,19934,48541,32498778,802516,video
LATEST HINDI SONGS 2016 | New BOLLYWOOD SONGS | Video Jukebox | T-SERIES,12/15/2014,429,164,1398083,2653,video
Top 10 Pirates in Videogames,12/15/2014,325,668,200859,3228,video
Christina Perri - A Thousand Years [Official Music Video],12/15/2014,47873,147997,432933305,2560233,video
Christina Perri - A Thousand Years [Official Music Video],12/15/2014,47873,147997,432933305,2560233,video
Top 5 Grabaciones Perdidas Aterradoras Que Fueron Encontradas,12/15/2014,2254,7174,5522731,77316,video
Top 10 Video Game Stories Told with Minimal Dialogue,12/15/2014,205,874,194709,3243,video
Top 10 Fenómenos Paranormales Captados En Cámara,12/15/2014,4256,21056,9232588,105241,video
J Balvin - Bobo,12/15/2014,31072,25615,62051923,490669,video
EPIC PARAGLIDING 360 VIDEO,12/15/2014,202,504,871306,8260,video
Jollibee's Amazing 360° Music Video,12/15/2014,32,100,595130,725,video
Ariana Grande - Focus,12/15/2014,335143,379775,494067455,2907281,video
"""BUSHES OF LOVE"" -- Extended Lyric Video",12/15/2014,1236,17116,7610828,145691,video
Bernie Sanders Gives Shoutout To TYT At Anaheim Rally,12/15/2014,372,1792,149543,7655,video
Drake - Hotline Bling,12/15/2014,321941,303313,764322956,3617599,video
Ariana Grande - Dangerous Woman,12/15/2014,72145,136025,126554990,1385433,video
NOORAN SISTERS : Yaar Da Deewana Video Song | Jyoti & Sultana Nooran | Gurmeet Singh | New Song 2016,12/15/2014,102,91,293107,1394,video
Watch: Giant pandas create trouble as staff cleans their house,12/15/2014,172,965,2391572,12391,video
MALAMAAL Video Song | HOUSEFULL 3 | T-SERIES,12/15/2014,640,319,1920081,7907,video
ZAYN - PILLOWTALK,12/15/2014,354791,324621,492700370,3345661,video
Time Warner Cable Managment WTF,12/15/2014,1830,6513,2215350,18527,video
Experience the Blue Angels in 360-degree video,12/15/2014,751,47,4911471,17332,video
DJ Snake - Middle ft. Bipolar Sunshine,12/15/2014,8611,20082,37290744,433001,video
Ed Sheeran - I See Fire (Music Video),12/15/2014,10421,28441,171658708,590807,video
Christina Perri - Jar of Hearts [Official Music Video],12/15/2014,21824,113160,219889864,978471,video
ABC SONG | ABC Songs for Children - 13 Alphabet Songs & 26 Videos,12/15/2014,163369,16154,340970719,275420,video
"SAB TERA Video Song | BAAGHI | Tiger Shroff, Shraddha Kapoor | Armaan Malik | Amaal Mallik |T-Series",12/15/2014,3061,3243,15142087,54928,video
"Sigala - Give Me Your Love (Official Video) ft. John Newman, Nile Rodgers",12/15/2014,948,1631,3751883,54099,video
Funny Kids Fails 2016 || A Fail Compilation by FailArmy,12/15/2014,6384,15741,20119448,195768,video
Justin Bieber - Purpose (PURPOSE : The Movement),12/15/2014,26150,27459,55515238,641074,video
"Jason Derulo - ""If It Ain't Love"" (Official Music Video)",12/15/2014,6198,4948,17371739,150655,video
WATCHING YOUTUBERS FIRST VIDEOS 5!,12/15/2014,689,6228,1706649,68949,video
Halsey - Colors,12/15/2014,11010,35233,30414195,501529,video
WATCHING YOUTUBERS FIRST VIDEOS 8!,12/15/2014,2063,14838,2028014,82594,video
Gwen Stefani - Make Me Like You,12/15/2014,8455,8110,10781379,113325,video
Spoken English Leaning Video Spoken English Tutorial English Conversation,12/15/2014,2152,1487,6253820,21119,video
"Salamat Video Song | SARBJIT | Randeep Hooda, Richa Chadda | Arijit Singh, Tulsi Kumar, Amaal Mallik",12/15/2014,503,856,3407664,10553,video
What is a Game?: Crash Course Games #1,12/15/2014,394,2519,373203,18606,video
Maroon 5 - Sugar,12/15/2014,183512,173236,1279086833,4900826,video
Taylor Swift - Blank Space,12/15/2014,433236,447275,1615730715,5579941,video
Beyoncé - I Was Here (United Nations World Humanitarian Day Performance Video),12/15/2014,8232,32037,54435819,480601,video
"J.Y. Park ""Fire"" feat. Conan O'Brien & Steven Yeun & Jimin Park Official M/V",12/15/2014,2647,10299,5215427,87465,video
Hello - Adele (Lyrics Video)(Cover),12/15/2014,5093,2280,12678049,56197,video
Bob The Train | Phonics Song | Learn ABC Alphabet Song | Children's Video,12/15/2014,1862,8,3035028,2998,video
Justin Bieber - Sorry (PURPOSE : The Movement),12/15/2014,642189,516581,1452790835,5836515,video
Power of Nanotechnology Video #Blow Mind,12/15/2014,6747,12378,18316066,73485,video
WATCHING YOUTUBERS FIRST VIDEOS 7!,12/15/2014,1274,8262,2690871,74499,video
World Record Edition | Dude Perfect,12/15/2014,5932,25066,12933952,279860,video
Top 10 Craziest Events Caught on Live TV,12/15/2014,11396,21685,44641753,84596,video
"Tu Hi Na Jaane Full Video | AZHAR | Emraan Hashmi, Nargis, Prachi| Sonu Nigam Prakriti Amaal Mallik",12/15/2014,53,59,405181,1195,video
Melanie Martinez - Cry Baby (Official Video),12/15/2014,16441,57295,16033380,509097,video
Katy Perry - Dark Horse (Official) ft. Juicy J,12/15/2014,625790,446449,1417024946,4404762,video
Jason Mraz - I'm Yours [Official Music Video],12/15/2014,18551,101344,268300439,983090,video
Alicia Keys - In Common,12/15/2014,1628,2520,1644405,36098,video
Justin Bieber - Love Yourself  (PURPOSE : The Movement),12/15/2014,197188,148719,669249679,3125686,video
"Girl I Need You Song | BAAGHI | Tiger, Shraddha | Arijit Singh, Meet Bros, Roach Killa, Khushboo",12/15/2014,1797,1587,10548090,28309,video
Taylor Swift - Wildest Dreams,12/15/2014,134534,196221,454251402,2473477,video
"Sunny Leone: Rom Rom Romantic Video Song | Mastizaade | Mika Singh, Armaan Malik Amaal Malik",12/15/2014,5550,953,16064577,13652,video
R. City - Locked Away ft. Adam Levine,12/15/2014,41851,55970,365964157,1621822,video
Taylor Swift - Shake It Off,12/15/2014,538965,392021,1486954657,4752471,video
WATCHING YOUTUBERS FIRST VIDEOS!,12/15/2014,1413,3698,3114839,87475,video
Follow Your Heart - Inspiring Video,12/15/2014,125,340,1013188,11614,video
Last Week Tonight with John Oliver: How Is This Not A Thing? (Web Exclusive),12/15/2014,4260,2191,2474876,34349,video
The Dawn of Video Games: Crash Course Games #3,12/15/2014,181,787,227422,7394,video
Meghan Trainor - NO,12/15/2014,205955,183557,238803372,1631446,video
Chris Brown - Back To Sleep (Explicit Version),12/15/2014,13280,13213,44900587,359763,video
360 VR VIDEO - ASIAN HORROR VR MOVIE. REALLY SCARY!,12/15/2014,19,5,46187,49,video
"Ankhiyaan Video Song | Do Lafzon Ki Kahani | Randeep Hooda, Kajal Aggarwal | Kanika Kapoor |T-Series",12/15/2014,140,127,717679,2575,video
Meghan Trainor - Me Too,12/15/2014,56904,61606,49224160,604899,video
Justin Bieber - What Do You Mean?,12/15/2014,548336,335222,1046617762,4248115,video
One Direction - Drag Me Down,12/15/2014,128170,365712,468218242,3922186,video
Baby Falls Into Zoo's Gorilla Cage,12/15/2014,472,3043,659500,1410,video
it was my first time,12/15/2014,1750,11220,1476402,58596,video
[Funny] SCARY MOMENTS IN VIDEO GAMES - (episode 5),12/15/2014,1783,28740,12002608,214568,video
"Get Ready To Fight Video Song | BAAGHI | Tiger Shroff, Shraddha Kapoor | Benny Dayal | T-Series",12/15/2014,306,351,2117445,6192,video
Ariana Grande - Into You,12/15/2014,15332,55792,24568848,678053,video
GIANT EGG SURPRISE OPENING SPIDERMAN Marvel superhero toys Kids Video Ryan ToysReview,12/15/2014,6436,736,26564608,15107,video
Sean Paul - I'm Still In Love With You [OFFICIAL VIDEO],12/15/2014,2218,5535,29688095,95108,video
The Redstone Rapids in Minecraft [4K 360' Video],12/15/2014,259,1308,288026,6449,video
Mark Ronson - Uptown Funk ft. Bruno Mars,12/15/2014,334473,290346,1629946480,6276512,video
"Dard Video Song | SARBJIT | Randeep Hooda, Aishwarya Rai Bachchan | Sonu Nigam, Jeet Gannguli, Jaani",12/15/2014,326,797,2371796,7281,video
"Drake - One Dance (Live On SNL) ft. Wizkid, Kyla",12/15/2014,6235,6987,6592843,61017,video
Hellblade | Senua Trailer | 360° Video,12/15/2014,27,86,60355,721,video
Galantis - No Money (Official Video),12/15/2014,3234,7554,14156159,186536,video
James Blunt - You're Beautiful (Video),12/15/2014,11072,39192,103458519,550228,video
Top 5 Misterios Sin Resolver Captados En Cámara (2da Parte),12/15/2014,3727,7638,8072421,96162,video
Beyoncé - Drunk in Love (Explicit) ft. JAY Z,12/15/2014,128203,97018,363973626,1345907,video
"Enrique Iglesias - Bailando (Español) ft. Descemer Bueno, Gente De Zona",12/15/2014,240022,118646,1426694590,3376478,video
360° cockpit view | SWISS Airbus A320 | Geneva – Zurich,12/15/2014,1116,1173,6245690,21854,video
Sean Paul - Temperature [OFFICIAL VIDEO],12/15/2014,6531,12358,84062935,228987,video
100th Video Spectacular! (MEGA COLLAB)!,12/15/2014,178,698,369968,7127,video
The Chainsmokers - Don't Let Me Down ft. Daya,12/15/2014,8946,14326,37505800,378641,video
Fifth Harmony - Work from Home ft. Ty Dolla $ign,12/15/2014,144730,204738,442340262,2326007,video
